Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2009-12-31,14.87,14.93,14.77,14.77,2141800,0.0,0,GME
2010-01-04,14.86,15.45,14.81,15.42,6675700,0.0,0,GME
2010-01-05,15.43,15.98,15.42,15.84,5317400,0.0,0,GME
2010-01-06,15.8,16.23,15.63,16.18,5367800,0.0,0,GME
2010-01-07,13.47,14.25,13.08,13.78,41190300,0.0,0,GME
2010-01-08,13.9,14.29,13.62,13.66,11968100,0.0,0,GME
2010-01-11,13.83,13.86,13.54,13.68,7021300,0.0,0,GME
2010-01-12,13.91,14.0,13.67,13.98,7121500,0.0,0,GME
2010-01-13,14.02,14.07,13.88,14.0,4446900,0.0,0,GME
2010-01-14,13.95,14.02,13.73,13.8,6771900,0.0,0,GME
2010-01-15,13.8,13.92,13.74,13.8,6128800,0.0,0,GME
2010-01-19,13.9,14.01,13.74,14.01,4101700,0.0,0,GME
2010-01-20,13.9,13.98,13.73,13.81,4074200,0.0,0,GME
2010-01-21,13.76,13.9,13.69,13.75,4426000,0.0,0,GME
2010-01-22,13.75,13.76,13.45,13.49,3384400,0.0,0,GME
2010-01-25,13.55,13.66,13.4,13.42,3506600,0.0,0,GME
2010-01-26,13.35,13.5,13.14,13.22,6250600,0.0,0,GME
2010-01-27,13.24,13.47,13.13,13.43,6569000,0.0,0,GME
2010-01-28,13.47,13.47,13.3,13.37,4298200,0.0,0,GME
2010-01-29,13.43,13.49,13.28,13.31,4526900,0.0,0,GME
2010-02-01,13.45,13.51,13.24,13.42,5728600,0.0,0,GME
2010-02-02,13.43,13.67,13.37,13.62,4298300,0.0,0,GME
2010-02-03,13.65,13.85,13.51,13.81,3253000,0.0,0,GME
2010-02-04,13.71,13.75,13.45,13.53,5044600,0.0,0,GME
2010-02-05,13.58,13.67,13.39,13.57,3281800,0.0,0,GME
2010-02-08,13.56,13.56,13.24,13.26,4155600,0.0,0,GME
2010-02-09,12.78,12.89,12.3,12.67,11024100,0.0,0,GME
2010-02-10,12.67,12.99,12.65,12.91,5620400,0.0,0,GME
2010-02-11,12.92,13.14,12.88,13.04,4236100,0.0,0,GME
2010-02-12,12.95,12.97,12.66,12.91,4913700,0.0,0,GME
2010-02-16,12.91,12.96,12.69,12.79,3780200,0.0,0,GME
2010-02-17,12.77,13.01,12.76,12.98,3058800,0.0,0,GME
2010-02-18,12.95,13.13,12.87,13.08,2295800,0.0,0,GME
2010-02-19,13.01,13.09,12.95,13.0,2986700,0.0,0,GME
2010-02-22,13.03,13.03,12.79,12.85,2633200,0.0,0,GME
2010-02-23,12.8,12.89,12.67,12.71,3590500,0.0,0,GME
2010-02-24,12.75,12.78,12.62,12.7,3847600,0.0,0,GME
2010-02-25,11.77,11.8,11.53,11.79,16427400,0.0,0,GME
2010-02-26,11.84,11.96,11.53,11.58,6984200,0.0,0,GME
2010-03-01,11.64,11.84,11.62,11.78,4688800,0.0,0,GME
2010-03-02,11.84,11.94,11.69,11.78,3386600,0.0,0,GME
2010-03-03,11.82,12.08,11.76,12.02,4654700,0.0,0,GME
2010-03-04,12.04,12.23,11.88,11.98,4898100,0.0,0,GME
2010-03-05,12.02,12.22,11.95,12.17,4407200,0.0,0,GME
2010-03-08,12.21,12.53,12.18,12.44,3601100,0.0,0,GME
2010-03-09,12.4,12.51,12.04,12.16,5172600,0.0,0,GME
2010-03-10,12.14,12.36,12.08,12.31,3831000,0.0,0,GME
2010-03-11,12.28,13.28,12.21,13.03,17703200,0.0,0,GME
2010-03-12,13.15,13.36,12.87,12.93,4847700,0.0,0,GME
2010-03-15,12.92,13.1,12.62,13.06,4196500,0.0,0,GME
2010-03-16,13.12,13.12,12.86,13.07,3505700,0.0,0,GME
2010-03-17,13.06,13.41,12.97,13.37,7305400,0.0,0,GME
2010-03-18,14.5,14.89,14.16,14.25,18806800,0.0,0,GME
2010-03-19,14.21,14.4,14.07,14.21,7862700,0.0,0,GME
