Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2009-12-31,24.07,24.08,23.68,23.68,31929700,0.0,0,MSFT
2010-01-04,23.79,24.17,23.77,24.05,38409100,0.0,0,MSFT
2010-01-05,23.97,24.17,23.81,24.06,49749600,0.0,0,MSFT
2010-01-06,24.0,24.15,23.72,23.91,58182400,0.0,0,MSFT
2010-01-07,23.8,23.86,23.46,23.66,50559700,0.0,0,MSFT
2010-01-08,23.53,24.0,23.5,23.82,51197400,0.0,0,MSFT
2010-01-11,23.86,23.9,23.41,23.52,68754700,0.0,0,MSFT
2010-01-12,23.43,23.62,23.24,23.37,65912100,0.0,0,MSFT
2010-01-13,23.51,23.72,23.32,23.58,51863500,0.0,0,MSFT
2010-01-14,23.55,24.17,23.51,24.06,63228100,0.0,0,MSFT
2010-01-15,24.15,24.28,23.86,23.98,79913200,0.0,0,MSFT
2010-01-19,23.89,24.28,23.84,24.17,46575700,0.0,0,MSFT
2010-01-20,23.94,24.04,23.55,23.77,54849500,0.0,0,MSFT
2010-01-21,23.79,23.87,23.31,23.32,73086700,0.0,0,MSFT
2010-01-22,23.31,23.47,22.41,22.5,102004600,0.0,0,MSFT
2010-01-25,22.72,23.05,22.61,22.78,63373000,0.0,0,MSFT
2010-01-26,22.69,23.2,22.6,22.92,66639900,0.0,0,MSFT
2010-01-27,22.81,23.17,22.55,23.06,63949500,0.0,0,MSFT
2010-01-28,23.19,23.21,22.45,22.66,117513700,0.0,0,MSFT
2010-01-29,23.23,23.25,21.49,21.9,193888500,0.0,0,MSFT
2010-02-01,22.06,22.13,21.7,22.08,85931100,0.0,0,MSFT
2010-02-02,22.05,22.15,21.87,22.12,54413700,0.0,0,MSFT
2010-02-03,21.96,22.37,21.85,22.25,61397900,0.0,0,MSFT
2010-02-04,22.05,22.15,21.61,21.63,77850000,0.0,0,MSFT
2010-02-05,21.76,21.98,21.42,21.77,80960100,0.0,0,MSFT
2010-02-08,21.77,21.82,21.42,21.54,52820600,0.0,0,MSFT
2010-02-09,21.73,22.02,21.56,21.77,59195800,0.0,0,MSFT
2010-02-10,21.78,21.94,21.63,21.75,48591300,0.0,0,MSFT
2010-02-11,21.7,22.07,21.52,21.85,65993700,0.0,0,MSFT
2010-02-12,21.61,21.8,21.43,21.7,81117200,0.0,0,MSFT
2010-02-16,21.96,22.15,21.88,22.13,51935600,0.13,0,MSFT
2010-02-17,22.27,22.37,22.14,22.32,45882900,0.0,0,MSFT
2010-02-18,22.32,22.66,22.26,22.62,42856500,0.0,0,MSFT
2010-02-19,22.48,22.58,22.4,22.46,44451800,0.0,0,MSFT
2010-02-22,22.52,22.59,22.37,22.43,36707100,0.0,0,MSFT
2010-02-23,22.39,22.51,21.93,22.12,52266200,0.0,0,MSFT
2010-02-24,22.27,22.48,22.16,22.35,43165900,0.0,0,MSFT
2010-02-25,22.07,22.37,21.88,22.33,48735300,0.0,0,MSFT
2010-02-26,22.37,22.52,22.26,22.38,40370600,0.0,0,MSFT
2010-03-01,22.46,22.68,22.27,22.66,43805400,0.0,0,MSFT
2010-03-02,22.7,22.87,22.05,22.22,93123900,0.0,0,MSFT
2010-03-03,22.26,22.34,22.13,22.22,48442100,0.0,0,MSFT
2010-03-04,22.22,22.37,22.07,22.35,42890600,0.0,0,MSFT
2010-03-05,22.37,22.39,22.19,22.32,56001800,0.0,0,MSFT
2010-03-08,22.27,22.59,22.25,22.35,39414500,0.0,0,MSFT
2010-03-09,22.3,22.73,22.29,22.48,50271600,0.0,0,MSFT
2010-03-10,22.53,22.73,22.48,22.62,44891400,0.0,0,MSFT
2010-03-11,22.55,22.79,22.52,22.78,35349700,0.0,0,MSFT
2010-03-12,22.89,22.94,22.67,22.85,31700200,0.0,0,MSFT
2010-03-15,22.78,22.93,22.65,22.87,37512000,0.0,0,MSFT
2010-03-16,22.97,23.02,22.8,22.93,36723500,0.0,0,MSFT
2010-03-17,23.03,23.32,22.95,23.13,50385700,0.0,0,MSFT
2010-03-18,23.13,23.2,23.03,23.12,43845200,0.0,0,MSFT
2010-03-19,23.23,23.34,22.91,23.1,81332100,0.0,0,MSFT
2010-03-22,23.03,23.19,22.94,23.11,37718200,0.0,0,MSFT
2010-03-23,23.1,23.34,22.96,23.33,42026600,0.0,0,MSFT
2010-03-24,23.2,23.3,23.11,23.15,33987700,0.0,0,MSFT
2010-03-25,23.29,23.87,23.26,23.43,73168700,0.0,0,MSFT
2010-03-26,23.49,23.58,23.1,23.16,55595500,0.0,0,MSFT
2010-03-29,23.19,23.28,23.07,23.1,33336000,0.0,0,MSFT
2010-03-30,23.13,23.31,23.03,23.24,34954800,0.0,0,MSFT
2010-03-31,23.14,23.2,22.77,22.87,63760000,0.0,0,MSFT
2010-04-01,22.91,23.06,22.34,22.76,74768100,0.0,0,MSFT
2010-04-05,22.74,22.98,22.66,22.85,34331200,0.0,0,MSFT
2010-04-06,22.76,23.09,22.62,22.89,47366800,0.0,0,MSFT
2010-04-07,22.76,23.08,22.75,22.91,58318800,0.0,0,MSFT
2010-04-08,22.89,23.41,22.87,23.36,63713800,0.0,0,MSFT
2010-04-09,23.38,23.74,23.34,23.69,54752500,0.0,0,MSFT
2010-04-12,23.62,23.8,23.58,23.67,37068800,0.0,0,MSFT
2010-04-13,23.54,23.81,23.52,23.77,41374600,0.0,0,MSFT
2010-04-14,24.04,24.2,23.94,24.06,68941200,0.0,0,MSFT
2010-04-15,24.06,24.16,23.98,24.1,52745400,0.0,0,MSFT
2010-04-16,24.04,24.19,23.89,23.94,88703100,0.0,0,MSFT
2010-04-19,24.02,24.4,24.01,24.23,64970300,0.0,0,MSFT
2010-04-20,24.37,24.54,24.3,24.48,52199500,0.0,0,MSFT
2010-04-21,24.46,24.59,24.38,24.46,55343100,0.0,0,MSFT
2010-04-22,24.23,24.62,24.12,24.51,84847600,0.0,0,MSFT
2010-04-23,24.3,24.65,23.93,24.17,126766600,0.0,0,MSFT
2010-04-26,24.2,24.42,24.09,24.29,63649300,0.0,0,MSFT
2010-04-27,24.16,24.4,24.01,24.08,68730900,0.0,0,MSFT
2010-04-28,24.14,24.2,23.9,24.13,64557900,0.0,0,MSFT
2010-04-29,24.15,24.54,23.94,24.2,52665200,0.0,0,MSFT
2010-04-30,24.26,24.26,23.83,23.84,63214800,0.0,0,MSFT
2010-05-03,23.94,24.25,23.87,24.09,43989500,0.0,0,MSFT
2010-05-04,23.83,23.85,23.23,23.52,82085600,0.0,0,MSFT
2010-05-05,23.24,23.49,23.18,23.3,66833800,0.0,0,MSFT
2010-05-06,23.1,23.33,21.79,22.62,128613000,0.0,0,MSFT
2010-05-07,22.59,22.6,21.33,22.02,173718100,0.0,0,MSFT
2010-05-10,22.65,23.01,22.41,22.59,86653300,0.0,0,MSFT
2010-05-11,22.39,23.15,22.3,22.55,63789400,0.0,0,MSFT
2010-05-12,22.62,23.09,22.58,22.98,47146800,0.0,0,MSFT
2010-05-13,22.84,23.21,22.78,22.83,45188800,0.0,0,MSFT
2010-05-14,22.8,22.8,22.36,22.59,63334000,0.0,0,MSFT
2010-05-17,22.73,22.82,22.21,22.59,46053300,0.0,0,MSFT
2010-05-18,22.64,22.74,22.27,22.43,52690600,0.13,0,MSFT
2010-05-19,22.37,22.5,21.79,22.15,61746700,0.0,0,MSFT
2010-05-20,21.68,21.83,21.21,21.26,87991100,0.0,0,MSFT
2010-05-21,20.88,21.26,20.73,21.05,117596300,0.0,0,MSFT
2010-05-24,21.06,21.06,20.59,20.6,73711700,0.0,0,MSFT
2010-05-25,20.12,20.65,19.9,20.44,98373600,0.0,0,MSFT
2010-05-26,20.57,20.87,19.26,19.61,176684100,0.0,0,MSFT
2010-05-27,20.18,20.67,20.18,20.39,136433600,0.0,0,MSFT
2010-05-28,20.26,20.48,20.12,20.23,67496900,0.0,0,MSFT
2010-06-01,20.02,20.63,20.01,20.3,76152400,0.0,0,MSFT
2010-06-02,20.44,20.77,20.18,20.75,65718800,0.0,0,MSFT
2010-06-03,20.82,21.12,20.71,21.06,67837000,0.0,0,MSFT
2010-06-04,20.47,20.84,20.09,20.22,89832200,0.0,0,MSFT
2010-06-07,20.25,20.26,19.79,19.83,80456200,0.0,0,MSFT
2010-06-08,19.8,19.81,19.33,19.69,87355000,0.0,0,MSFT
2010-06-09,19.78,20.01,19.41,19.44,87794000,0.0,0,MSFT
2010-06-10,19.71,19.72,19.43,19.61,78930900,0.0,0,MSFT
2010-06-11,19.64,20.17,19.43,20.12,68057700,0.0,0,MSFT
2010-06-14,20.28,20.36,19.97,20.0,50972400,0.0,0,MSFT
2010-06-15,20.19,20.9,20.19,20.84,81641500,0.0,0,MSFT
2010-06-16,20.76,20.84,20.57,20.64,48698000,0.0,0,MSFT
2010-06-17,20.83,20.92,20.42,20.68,47995500,0.0,0,MSFT
2010-06-18,20.68,20.81,20.52,20.73,52075600,0.0,0,MSFT
2010-06-21,21.0,21.09,20.3,20.35,54625300,0.0,0,MSFT
2010-06-22,20.52,20.74,20.2,20.21,55985400,0.0,0,MSFT
2010-06-23,20.22,20.22,19.78,19.85,61466200,0.0,0,MSFT
2010-06-24,19.97,20.17,19.55,19.61,85243400,0.0,0,MSFT
2010-06-25,19.64,19.69,19.06,19.24,156256700,0.0,0,MSFT
2010-06-28,19.22,19.3,18.92,19.06,73784800,0.0,0,MSFT
2010-06-29,18.92,18.98,18.12,18.28,119882100,0.0,0,MSFT
2010-06-30,18.27,18.57,18.0,18.04,81050500,0.0,0,MSFT
2010-07-01,18.11,18.29,17.83,18.16,92239400,0.0,0,MSFT
2010-07-02,18.32,18.41,18.08,18.25,62485100,0.0,0,MSFT
2010-07-06,18.59,18.89,18.49,18.68,73592000,0.0,0,MSFT
2010-07-07,18.68,19.07,18.52,19.06,79965300,0.0,0,MSFT
2010-07-08,19.29,19.31,18.8,19.14,50758100,0.0,0,MSFT
2010-07-09,19.08,19.14,18.94,19.03,53806100,0.0,0,MSFT
2010-07-12,19.16,19.52,19.15,19.47,49854200,0.0,0,MSFT
2010-07-13,19.72,19.84,19.53,19.71,61928700,0.0,0,MSFT
2010-07-14,20.0,20.08,19.7,19.95,72808100,0.0,0,MSFT
2010-07-15,20.0,20.07,19.59,20.01,56934700,0.0,0,MSFT
2010-07-16,20.01,20.11,19.51,19.52,65064800,0.0,0,MSFT
2010-07-19,19.57,19.84,19.53,19.79,38181800,0.0,0,MSFT
2010-07-20,19.5,19.98,19.37,19.98,45530700,0.0,0,MSFT
2010-07-21,20.08,20.12,19.59,19.7,73297300,0.0,0,MSFT
2010-07-22,20.01,20.38,19.97,20.26,73016400,0.0,0,MSFT
2010-07-23,20.26,20.41,19.8,20.24,108520100,0.0,0,MSFT
